Layer,Name,GEOID,ADI_2023
,,,"Area Deprivation Index, 2023"
Census tract,Tract 3818,17031381800,49.5
Census tract,Tract 3819,17031381900,40.5
Census tract,Tract 3901,17031390100,28.0
Census tract,Tract 3902,17031390200,35.5
Census tract,Tract 3903,17031390300,55.5
Census tract,Tract 3904,17031390400,56.5
Census tract,Tract 3905,17031390500,18.0
Census tract,Tract 3906,17031390600,21.5
Census tract,Tract 3907,17031390700,62.333333333333336
Census tract,Tract 4003,17031400300,60.0
Census tract,Tract 4004,17031400400,72.0
Census tract,Tract 4005,17031400500,83.0
Census tract,Tract 4008,17031400800,58.0
Census tract,Tract 4101,17031410100,66.5
Census tract,Tract 4102,17031410200,55.0
Census tract,Tract 4105,17031410500,52.0
Census tract,Tract 4106,17031410600,66.0
Census tract,Tract 4107,17031410700,44.0
Census tract,Tract 4108,17031410800,52.0
Census tract,Tract 4109,17031410900,51.0
Census tract,Tract 4110,17031411000,64.66666666666667
Census tract,Tract 4111,17031411100,20.0
Census tract,Tract 4112,17031411200,18.5
Census tract,Tract 4201,17031420100,40.0
Census tract,Tract 4202,17031420200,39.0
Census tract,Tract 4204,17031420400,55.0
Census tract,Tract 4205,17031420500,59.0
Census tract,Tract 4206,17031420600,84.0
Census tract,Tract 4207,17031420700,82.0
Census tract,Tract 4208,17031420800,69.0
Census tract,Tract 4212,17031421200,68.0
Census tract,Tract 4301.01,17031430101,84.0
Census tract,Tract 4301.02,17031430102,78.0
Census tract,Tract 4302,17031430200,38.0
Census tract,Tract 4303,17031430300,56.0
Census tract,Tract 4304,17031430400,70.25
Census tract,Tract 4305,17031430500,61.333333333333336
Census tract,Tract 4306,17031430600,52.5
Census tract,Tract 4307,17031430700,72.0
Census tract,Tract 4308,17031430800,64.0
Census tract,Tract 4309,17031430900,80.0
Census tract,Tract 4312,17031431200,59.0
Census tract,Tract 4313.01,17031431301,63.666666666666664
Census tract,Tract 4313.02,17031431302,55.0
Census tract,Tract 4314,17031431400,97.25
Census tract,Tract 4401.01,17031440101,94.0
Census tract,Tract 4401.02,17031440102,76.25
Census tract,Tract 4402.01,17031440201,64.0
Census tract,Tract 4402.02,17031440202,65.0
Census tract,Tract 4403,17031440300,63.4
Census tract,Tract 4406,17031440600,77.0
Census tract,Tract 4407,17031440700,73.5
Census tract,Tract 4408,17031440800,92.0
Census tract,Tract 4409,17031440900,70.0
Census tract,Tract 4503,17031450300,76.0
Census tract,Tract 4601,17031460100,87.0
Census tract,Tract 4602,17031460200,95.0
Census tract,Tract 4603.01,17031460301,85.66666666666667
Census tract,Tract 4603.02,17031460302,81.0
Census tract,Tract 4604,17031460400,62.5
Census tract,Tract 4605,17031460500,69.57142857142857
Census tract,Tract 4608,17031460800,78.5
Census tract,Tract 4610,17031461000,61.0
Census tract,Tract 4701,17031470100,76.5
Census tract,Tract 4801,17031480100,60.0
Census tract,Tract 4802,17031480200,77.5
Census tract,Tract 4803,17031480300,61.0
Census tract,Tract 4804,17031480400,64.0
Census tract,Tract 4805,17031480500,71.0
Census tract,Tract 4902,17031490200,77.66666666666667
Census tract,Tract 4905,17031490500,60.0
Census tract,Tract 4906,17031490600,74.0
Census tract,Tract 4907,17031490700,85.0
Census tract,Tract 4908,17031490800,83.6
Census tract,Tract 4909.01,17031490901,81.0
Census tract,Tract 4909.02,17031490902,71.0
Census tract,Tract 4910,17031491000,94.25
Census tract,Tract 4911,17031491100,63.4
Census tract,Tract 4912,17031491200,80.66666666666667
Census tract,Tract 4913,17031491300,92.75
Census tract,Tract 4914,17031491400,76.66666666666667
Census tract,Tract 5001,17031500100,76.0
Census tract,Tract 5002,17031500200,81.5
Census tract,Tract 5003,17031500300,72.5
