"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US17031151100","Census Tract 1511; Cook County; Illinois","5140",
"1400000US17031151200","Census Tract 1512; Cook County; Illinois","3880",
"1400000US17031160100","Census Tract 1601; Cook County; Illinois","2444",
"1400000US17031160200","Census Tract 1602; Cook County; Illinois","3278",
"1400000US17031160300","Census Tract 1603; Cook County; Illinois","3769",
"1400000US17031160400","Census Tract 1604; Cook County; Illinois","4854",
"1400000US17031160501","Census Tract 1605.01; Cook County; Illinois","3703",
"1400000US17031160502","Census Tract 1605.02; Cook County; Illinois","3300",
"1400000US17031160601","Census Tract 1606.01; Cook County; Illinois","3380",
"1400000US17031160602","Census Tract 1606.02; Cook County; Illinois","3481",
"1400000US17031160700","Census Tract 1607; Cook County; Illinois","5766",
"1400000US17031160800","Census Tract 1608; Cook County; Illinois","4997",
"1400000US17031160900","Census Tract 1609; Cook County; Illinois","2410",
"1400000US17031161000","Census Tract 1610; Cook County; Illinois","1899",
"1400000US17031161100","Census Tract 1611; Cook County; Illinois","1940",
"1400000US17031161200","Census Tract 1612; Cook County; Illinois","2820",
"1400000US17031161300","Census Tract 1613; Cook County; Illinois","3899",
"1400000US17031170100","Census Tract 1701; Cook County; Illinois","2034",
"1400000US17031170200","Census Tract 1702; Cook County; Illinois","3812",
"1400000US17031170300","Census Tract 1703; Cook County; Illinois","5216",
"1400000US17031170400","Census Tract 1704; Cook County; Illinois","4141",
"1400000US17031170500","Census Tract 1705; Cook County; Illinois","5316",
"1400000US17031170600","Census Tract 1706; Cook County; Illinois","2551",
"1400000US17031170700","Census Tract 1707; Cook County; Illinois","3068",
"1400000US17031170800","Census Tract 1708; Cook County; Illinois","3799",
"1400000US17031170900","Census Tract 1709; Cook County; Illinois","1662",
"1400000US17031171000","Census Tract 1710; Cook County; Illinois","7313",
"1400000US17031171100","Census Tract 1711; Cook County; Illinois","4235",
"1400000US17031180100","Census Tract 1801; Cook County; Illinois","6656",
"1400000US17031190100","Census Tract 1901; Cook County; Illinois","2325",
"1400000US17031190200","Census Tract 1902; Cook County; Illinois","5652",
"1400000US17031190300","Census Tract 1903; Cook County; Illinois","5738",
"1400000US17031190401","Census Tract 1904.01; Cook County; Illinois","4325",
"1400000US17031190402","Census Tract 1904.02; Cook County; Illinois","5294",
"1400000US17031190601","Census Tract 1906.01; Cook County; Illinois","4382",
"1400000US17031190602","Census Tract 1906.02; Cook County; Illinois","5378",
"1400000US17031190701","Census Tract 1907.01; Cook County; Illinois","2972",
"1400000US17031190702","Census Tract 1907.02; Cook County; Illinois","4952",
"1400000US17031190800","Census Tract 1908; Cook County; Illinois","6831",
"1400000US17031190900","Census Tract 1909; Cook County; Illinois","1927",
"1400000US17031191000","Census Tract 1910; Cook County; Illinois","2422",
"1400000US17031191100","Census Tract 1911; Cook County; Illinois","7533",
"1400000US17031191200","Census Tract 1912; Cook County; Illinois","3810",
"1400000US17031191301","Census Tract 1913.01; Cook County; Illinois","5214",
"1400000US17031191302","Census Tract 1913.02; Cook County; Illinois","4940",
"1400000US17031200100","Census Tract 2001; Cook County; Illinois","4118",
"1400000US17031200200","Census Tract 2002; Cook County; Illinois","5162",
"1400000US17031200300","Census Tract 2003; Cook County; Illinois","2015",
"1400000US17031200401","Census Tract 2004.01; Cook County; Illinois","3743",
"1400000US17031200402","Census Tract 2004.02; Cook County; Illinois","4192",
"1400000US17031210100","Census Tract 2101; Cook County; Illinois","4066",
"1400000US17031210400","Census Tract 2104; Cook County; Illinois","2912",
"1400000US17031210501","Census Tract 2105.01; Cook County; Illinois","3555",
"1400000US17031210502","Census Tract 2105.02; Cook County; Illinois","4099",
"1400000US17031210601","Census Tract 2106.01; Cook County; Illinois","2717",
"1400000US17031210602","Census Tract 2106.02; Cook County; Illinois","4148",
"1400000US17031210700","Census Tract 2107; Cook County; Illinois","3907",
"1400000US17031210800","Census Tract 2108; Cook County; Illinois","986",
"1400000US17031210900","Census Tract 2109; Cook County; Illinois","3170",
"1400000US17031220300","Census Tract 2203; Cook County; Illinois","2207",
"1400000US17031220400","Census Tract 2204; Cook County; Illinois","2579",
"1400000US17031220500","Census Tract 2205; Cook County; Illinois","2751",
"1400000US17031220601","Census Tract 2206.01; Cook County; Illinois","1635",
"1400000US17031220602","Census Tract 2206.02; Cook County; Illinois","4877",
"1400000US17031220701","Census Tract 2207.01; Cook County; Illinois","2920",
"1400000US17031220702","Census Tract 2207.02; Cook County; Illinois","3653",
"1400000US17031220901","Census Tract 2209.01; Cook County; Illinois","2903",
"1400000US17031220902","Census Tract 2209.02; Cook County; Illinois","2959",
"1400000US17031221000","Census Tract 2210; Cook County; Illinois","2432",
"1400000US17031221100","Census Tract 2211; Cook County; Illinois","4440",
"1400000US17031221200","Census Tract 2212; Cook County; Illinois","2954",
"1400000US17031221300","Census Tract 2213; Cook County; Illinois","3062",
"1400000US17031221400","Census Tract 2214; Cook County; Illinois","3385",
"1400000US17031221500","Census Tract 2215; Cook County; Illinois","2909",
"1400000US17031221600","Census Tract 2216; Cook County; Illinois","3159",
"1400000US17031222200","Census Tract 2222; Cook County; Illinois","2156",
"1400000US17031222500","Census Tract 2225; Cook County; Illinois","1415",
"1400000US17031222600","Census Tract 2226; Cook County; Illinois","1599",
"1400000US17031222700","Census Tract 2227; Cook County; Illinois","2082",
"1400000US17031222800","Census Tract 2228; Cook County; Illinois","960",
"1400000US17031222900","Census Tract 2229; Cook County; Illinois","1089",
"1400000US17031230100","Census Tract 2301; Cook County; Illinois","1504",
"1400000US17031230200","Census Tract 2302; Cook County; Illinois","1834",
"1400000US17031230300","Census Tract 2303; Cook County; Illinois","956",
"1400000US17031230400","Census Tract 2304; Cook County; Illinois","2235",
"1400000US17031230500","Census Tract 2305; Cook County; Illinois","3419",
"1400000US17031230600","Census Tract 2306; Cook County; Illinois","6817",
"1400000US17031230700","Census Tract 2307; Cook County; Illinois","6218",
"1400000US17031230800","Census Tract 2308; Cook County; Illinois","1234",
"1400000US17031230900","Census Tract 2309; Cook County; Illinois","5044",
"1400000US17031231100","Census Tract 2311; Cook County; Illinois","1214",
"1400000US17031231200","Census Tract 2312; Cook County; Illinois","5983",
"1400000US17031231500","Census Tract 2315; Cook County; Illinois","5655",
"1400000US17031240200","Census Tract 2402; Cook County; Illinois","1556",
"1400000US17031240300","Census Tract 2403; Cook County; Illinois","1362",
"1400000US17031240500","Census Tract 2405; Cook County; Illinois","2610",
"1400000US17031240600","Census Tract 2406; Cook County; Illinois","1489",
"1400000US17031240700","Census Tract 2407; Cook County; Illinois","1499",
"1400000US17031240800","Census Tract 2408; Cook County; Illinois","1687",
"1400000US17031240900","Census Tract 2409; Cook County; Illinois","1122",
"1400000US17031241000","Census Tract 2410; Cook County; Illinois","2363",
"1400000US17031241100","Census Tract 2411; Cook County; Illinois","3574",
"1400000US17031241200","Census Tract 2412; Cook County; Illinois","1714",
"1400000US17031241300","Census Tract 2413; Cook County; Illinois","1848",
"1400000US17031241400","Census Tract 2414; Cook County; Illinois","5273",
"1400000US17031241500","Census Tract 2415; Cook County; Illinois","2954",
"1400000US17031241600","Census Tract 2416; Cook County; Illinois","3534",
"1400000US17031242000","Census Tract 2420; Cook County; Illinois","4692",
"1400000US17031242100","Census Tract 2421; Cook County; Illinois","3976",
"1400000US17031242200","Census Tract 2422; Cook County; Illinois","4082",
"1400000US17031242300","Census Tract 2423; Cook County; Illinois","3568",
"1400000US17031242400","Census Tract 2424; Cook County; Illinois","2902",
"1400000US17031242500","Census Tract 2425; Cook County; Illinois","3426",
"1400000US17031242600","Census Tract 2426; Cook County; Illinois","5665",
"1400000US17031242700","Census Tract 2427; Cook County; Illinois","1938",
"1400000US17031242800","Census Tract 2428; Cook County; Illinois","1507",
"1400000US17031242900","Census Tract 2429; Cook County; Illinois","1962",
"1400000US17031243000","Census Tract 2430; Cook County; Illinois","2234",
"1400000US17031243100","Census Tract 2431; Cook County; Illinois","2249",
"1400000US17031243200","Census Tract 2432; Cook County; Illinois","2287",
"1400000US17031243300","Census Tract 2433; Cook County; Illinois","2431",
"1400000US17031243400","Census Tract 2434; Cook County; Illinois","2880",
"1400000US17031243500","Census Tract 2435; Cook County; Illinois","4746",
"1400000US17031250200","Census Tract 2502; Cook County; Illinois","2779",
"1400000US17031250300","Census Tract 2503; Cook County; Illinois","4742",
"1400000US17031250400","Census Tract 2504; Cook County; Illinois","5789",
"1400000US17031250500","Census Tract 2505; Cook County; Illinois","7315",
"1400000US17031250600","Census Tract 2506; Cook County; Illinois","4203",
"1400000US17031250700","Census Tract 2507; Cook County; Illinois","5932",
"1400000US17031250800","Census Tract 2508; Cook County; Illinois","2432",
"1400000US17031251000","Census Tract 2510; Cook County; Illinois","1075",
"1400000US17031251100","Census Tract 2511; Cook County; Illinois","4468",
"1400000US17031251200","Census Tract 2512; Cook County; Illinois","3910",
"1400000US17031251300","Census Tract 2513; Cook County; Illinois","5098",
"1400000US17031251400","Census Tract 2514; Cook County; Illinois","3986",
"1400000US17031251500","Census Tract 2515; Cook County; Illinois","4342",
"1400000US17031251600","Census Tract 2516; Cook County; Illinois","3522",
"1400000US17031251700","Census Tract 2517; Cook County; Illinois","1347",
"1400000US17031251800","Census Tract 2518; Cook County; Illinois","5101",
"1400000US17031251900","Census Tract 2519; Cook County; Illinois","5387",
"1400000US17031252000","Census Tract 2520; Cook County; Illinois","5646",
"1400000US17031252101","Census Tract 2521.01; Cook County; Illinois","1502",
"1400000US17031252102","Census Tract 2521.02; Cook County; Illinois","6187",
"1400000US17031252201","Census Tract 2522.01; Cook County; Illinois","2940",
"1400000US17031252202","Census Tract 2522.02; Cook County; Illinois","4783",
"1400000US17031260100","Census Tract 2601; Cook County; Illinois","1477",
"1400000US17031260200","Census Tract 2602; Cook County; Illinois","1054",
"1400000US17031260300","Census Tract 2603; Cook County; Illinois","1528",
"1400000US17031260400","Census Tract 2604; Cook County; Illinois","1398",
"1400000US17031260500","Census Tract 2605; Cook County; Illinois","1833",
"1400000US17031260600","Census Tract 2606; Cook County; Illinois","2114",
"1400000US17031260700","Census Tract 2607; Cook County; Illinois","1691",
"1400000US17031260800","Census Tract 2608; Cook County; Illinois","2271",
"1400000US17031260900","Census Tract 2609; Cook County; Illinois","1778",
"1400000US17031261000","Census Tract 2610; Cook County; Illinois","2289",
"1400000US17031270500","Census Tract 2705; Cook County; Illinois","1619",
"1400000US17031271200","Census Tract 2712; Cook County; Illinois","1172",
"1400000US17031271300","Census Tract 2713; Cook County; Illinois","1060",
"1400000US17031271400","Census Tract 2714; Cook County; Illinois","1535",
"1400000US17031271500","Census Tract 2715; Cook County; Illinois","1373",
"1400000US17031271800","Census Tract 2718; Cook County; Illinois","976",
"1400000US17031280100","Census Tract 2801; Cook County; Illinois","7421",
"1400000US17031280400","Census Tract 2804; Cook County; Illinois","1231",
"1400000US17031280800","Census Tract 2808; Cook County; Illinois","1198",
"1400000US17031280900","Census Tract 2809; Cook County; Illinois","1077",
"1400000US17031281900","Census Tract 2819; Cook County; Illinois","7031",
"1400000US17031282700","Census Tract 2827; Cook County; Illinois","2558",
"1400000US17031282800","Census Tract 2828; Cook County; Illinois","1634",
"1400000US17031283100","Census Tract 2831; Cook County; Illinois","2717",
"1400000US17031283200","Census Tract 2832; Cook County; Illinois","1670",
"1400000US17031283800","Census Tract 2838; Cook County; Illinois","3343",
"1400000US17031290900","Census Tract 2909; Cook County; Illinois","3975",
"1400000US17031291200","Census Tract 2912; Cook County; Illinois","2286",
"1400000US17031291600","Census Tract 2916; Cook County; Illinois","874",
"1400000US17031292200","Census Tract 2922; Cook County; Illinois","2942",
"1400000US17031292400","Census Tract 2924; Cook County; Illinois","2041",
"1400000US17031292500","Census Tract 2925; Cook County; Illinois","4057",
"1400000US17031300500","Census Tract 3005; Cook County; Illinois","3243",
"1400000US17031300600","Census Tract 3006; Cook County; Illinois","3253",
"1400000US17031300700","Census Tract 3007; Cook County; Illinois","4798",
"1400000US17031300800","Census Tract 3008; Cook County; Illinois","4136",
"1400000US17031300900","Census Tract 3009; Cook County; Illinois","4553",
"1400000US17031301100","Census Tract 3011; Cook County; Illinois","2323",
"1400000US17031301200","Census Tract 3012; Cook County; Illinois","4087",
"1400000US17031301600","Census Tract 3016; Cook County; Illinois","4995",
"1400000US17031301701","Census Tract 3017.01; Cook County; Illinois","4279",
"1400000US17031301702","Census Tract 3017.02; Cook County; Illinois","4121",
"1400000US17031301801","Census Tract 3018.01; Cook County; Illinois","3947",
"1400000US17031301802","Census Tract 3018.02; Cook County; Illinois","3376",
"1400000US17031301803","Census Tract 3018.03; Cook County; Illinois","5107",
"1400000US17031310200","Census Tract 3102; Cook County; Illinois","1588",
"1400000US17031310300","Census Tract 3103; Cook County; Illinois","1767",
"1400000US17031310400","Census Tract 3104; Cook County; Illinois","1375",
"1400000US17031310500","Census Tract 3105; Cook County; Illinois","1399",
"1400000US17031310600","Census Tract 3106; Cook County; Illinois","5498",
"1400000US17031310700","Census Tract 3107; Cook County; Illinois","1700",
"1400000US17031310800","Census Tract 3108; Cook County; Illinois","4175",
"1400000US17031310900","Census Tract 3109; Cook County; Illinois","4781",
"1400000US17031320101","Census Tract 3201.01; Cook County; Illinois","9532",
"1400000US17031320102","Census Tract 3201.02; Cook County; Illinois","4846",
"1400000US17031320400","Census Tract 3204; Cook County; Illinois","2856",
"1400000US17031320600","Census Tract 3206; Cook County; Illinois","6395",
"1400000US17031330101","Census Tract 3301.01; Cook County; Illinois","4592",
"1400000US17031330102","Census Tract 3301.02; Cook County; Illinois","10811",
"1400000US17031330103","Census Tract 3301.03; Cook County; Illinois","8248",
"1400000US17031330200","Census Tract 3302; Cook County; Illinois","4008",
"1400000US17031340300","Census Tract 3403; Cook County; Illinois","1865",
"1400000US17031340400","Census Tract 3404; Cook County; Illinois","1844",
"1400000US17031340500","Census Tract 3405; Cook County; Illinois","1629",
"1400000US17031340600","Census Tract 3406; Cook County; Illinois","1151",
"1400000US17031350100","Census Tract 3501; Cook County; Illinois","2228",
"1400000US17031350400","Census Tract 3504; Cook County; Illinois","1512",
"1400000US17031351000","Census Tract 3510; Cook County; Illinois","3640",
"1400000US17031351100","Census Tract 3511; Cook County; Illinois","2038",
"1400000US17031351400","Census Tract 3514; Cook County; Illinois","1392",
"1400000US17031351500","Census Tract 3515; Cook County; Illinois","823",
"1400000US17031360200","Census Tract 3602; Cook County; Illinois","1651",
"1400000US17031380100","Census Tract 3801; Cook County; Illinois","2207",
"1400000US17031380200","Census Tract 3802; Cook County; Illinois","2408",
"1400000US17031380600","Census Tract 3806; Cook County; Illinois","3947",
"1400000US17031381200","Census Tract 3812; Cook County; Illinois","2077",
