OBJECTID,SgmtEnd1,SgmtEnd2,Street,Owner,Manager,Miles,FacName,Sub_System,TrailType,TrailSurfa,Editor,Edtdate,Muni,TrailWdth,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Status,ShapeSTLength
62,,,,,Northbrook,0.00681415,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{5FBE24A5-0EF6-4792-8F12-751DAF6A808E},Existing,35.9787100651639
63,,,,,Northbrook,0.1676236,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{1BDF8635-27CB-4C48-A6B9-F39ACE082E01},Existing,885.05260765462
64,,,,,Northbrook,0.00714246,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{FA300DA6-B1E9-4B7C-945E-9CD3A30EE9A8},Existing,37.7121656419434
65,,,,,Northbrook,0.00591622,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{333A244F-0AA1-4B14-9707-1BB5FF79E55F},Existing,31.2376203329015
66,,,,,Northbrook,0.00291979,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{1026E37B-0D39-41BF-ABB5-6E50555A24F8},Existing,15.4164758745514
67,,,,,Northbrook,0.00535083,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{F6BCA1C2-59E8-4C19-B3D4-39D56AED101E},Existing,28.2523653846563
68,,,,,Northbrook,0.00017289,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{4C6CEC00-B3D4-4A81-9C09-C7CF3F196B21},Existing,0.912856642633442
69,,,,,Northbrook,0.33097829,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{F2753426-CBF2-4005-827F-497663B5F75E},Existing,1747.56538029148
70,,,,DOTH,Local,0.29279543,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,BENETHALLER,2025/09/10 16:04:43+00,{4445AFC7-5DB5-44FB-AF28-925DED4B1DE1},Existing,1545.95986387101
76,,,,,Glenview,0.3105449,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{0952A90D-D678-4ED8-A5F2-31D1E1AD7F84},Existing,1639.67706910978
