SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM,CENSUS_TRACT
5159.0,RACINE,47TH STREET,SB,FS,44,,CHICAGO,Racine & 47th Street,17031611100
5338.0,BROADWAY,RIDGE/BRYN MAWR,SB,NS,36,,CHICAGO,Broadway & Bryn Mawr/Ridge,17031030500
5367.0,BROADWAY,WELLINGTON,SB,NS,36,,CHICAGO,Broadway & Wellington,17031063100
8629.0,69TH STREET,STATE,EB,NS,169,,CHICAGO,69th Street & State (Red Line),17031690300
17493.0,IRVING PARK,WESTERN,EB,FS,80,,CHICAGO,Irving Park & Western,17031050500
1491.0,LINCOLN,BERWYN,NWB,FS,11,,CHICAGO,Lincoln & Berwyn,17031040200
8302.0,WESTERN,COLUMBUS,SB,FS,"49,X49",N49,CHICAGO,Western & Columbus,17031661000
9927.0,NORTHWEST HWY,OLIPHANT,SEB,NS,68,,CHICAGO,Northwest Hwy & Oliphant,17031090200
17209.0,NARRAGANSETT,BERTEAU,SB,FS,86,,CHICAGO,Narragansett & Berteau,17031170100
11560.0,CENTRAL,AUGUSTA,SB,NS,85,,CHICAGO,Central & Augusta,17031251300
8728.0,DAMEN,61ST STREET,NB,NS,48,,CHICAGO,Damen & 61st Street,17031670600
15189.0,CICERO,BERTEAU (north leg),SB,FS,"54,54A",,CHICAGO,Cicero & Berteau,17031150200
14545.0,HALSTED,119TH STREET,NB,FS,"8A,108",,CHICAGO,Halsted & 119th Street,17031530200
15046.0,KEDZIE,TOUHY,NB,FS,11,,CHICAGO,Kedzie & Touhy,17031020200
6280.0,ASHLAND,IRVING PARK,NB,NS,"9,X9",,CHICAGO,Ashland & Irving Park,17031060400
4484.0,ARCHER,DAMEN,SWB,NS,62,N62,CHICAGO,Archer & Damen,17031590200
3082.0,KEDZIE,48TH PLACE (north leg),SB,NS,"47,52",,CHICAGO,Kedzie & 48th Place,17031581000
3120.0,KEDZIE,45TH STREET,NB,NS,52,,CHICAGO,Kedzie & 45th Street,17031580900
1157.0,LAKE SHORE,ROSCOE,NB,NT,"135,146,151",,CHICAGO,Lake Shore & Roscoe,17031061900
3192.0,CALIFORNIA,MILWAUKEE,NB,NS,94,,CHICAGO,California & Milwaukee,17031221400
8720.0,DAMEN,69TH STREET,NB,NS,48,,CHICAGO,Damen & 69th Street,17031671500
14601.0,KEDZIE,OHIO,NB,FS,52,,CHICAGO,Kedzie & Ohio,17031231700
4157.0,CALIFORNIA,55TH STREET,NB,NS,94,,CHICAGO,California & 55th Street,17031630700
8264.0,WESTERN,35TH STREET,SB,NS,"49,X49",N49,CHICAGO,Western & 35th Street,17031590400
5505.0,DESPLAINES,FULTON,SB,NS,56,,CHICAGO,Desplaines & Fulton,17031280100
14787.0,CLARK,BALMORAL,SB,FS,22,N22,CHICAGO,Clark & Balmoral,17031030900
7211.0,STONY ISLAND,95TH STREET,SB,NS,"N5,28,95",N5,CHICAGO,Stony Island & 95th Street,17031510300
6569.0,VINCENNES,95TH STREET,SB,FS,112,,CHICAGO,Vincennes & 95th Street,17031730400
3701.0,HALSTED,98TH STREET,SB,NS,"8A,108",,CHICAGO,Halsted & 98th Street,17031730400
11167.0,HOMAN,FRANKLIN(n.service drive),SB,NS,82,,CHICAGO,Homan & Franklin,17031231500
8123.0,CICERO,50TH STREET,SB,NS,"47,54B",,CHICAGO,Cicero & 50th Street,17031560300
4454.0,ARCHER,CERMAK/PRINCETON,NEB,NS,62,,CHICAGO,Archer & Cermak/Princeton,17031340200
2427.0,STATE,61ST STREET (north leg),SB,NT,29,,CHICAGO,State & 61st Street,17031400600
1814.0,CLARK,MONTROSE,SB,NS,"22,78",N22,CHICAGO,Clark & Montrose,17031031900
17234.0,SOLIDARITY DR,LYNN WHITE DRIVE,EB,FS,"130,146",,CHICAGO,Solidarity Dr & Lynn White Drive,17031330100
17441.0,ROOSEVELT,CICERO,EB,FS,12,,CICERO,Roosevelt & Cicero,
12159.0,103RD STREET,UNION,EB,NS,103,,CHICAGO,103rd Street & Union,17031491100
2818.0,95TH STREET,FOREST,EB,NS,"3.N5,95,111,115",N5,CHICAGO,95th Street & Forest,17031490500
10956.0,75TH STREET,PAXTON,EB,NS,"N5,75",N5,CHICAGO,75th Street & Paxton,17031431200
9234.0,BELMONT,OKETO,EB,NS,77,,CHICAGO,Belmont & Oketo,17031170900
7989.0,OAKENWALD,43RD STREET,NB,FS,43,,CHICAGO,Oakenwald & 43rd Street,17031360400
9981.0,KEDZIE,96TH STREET,NB,MT,52A,,EVERGREEN PARK,Kedzie & 96th Street,
2305.0,STATE,58TH STREET,NB,NS,29,,CHICAGO,State & 58th Street,17031400500
11619.0,CENTRAL,BYRON,NB,NS,85,,CHICAGO,Central & Byron,17031150700
9418.0,87TH STREET,LANGLEY,EB,NS,87,,CHICAGO,87th Street & Langley,17031440700
9973.0,KEDZIE,104TH STREET,NB,NS,52A,,CHICAGO,Kedzie & 104th Street,17031740100
8919.0,DAMEN,HURON,NB,NS,50,,CHICAGO,Damen & Huron,17031243100
2273.0,STATE,89TH STREET,NB,NS,29,,CHICAGO,State & 89th Street,17031440600
9373.0,87TH STREET,HAMLIN,EB,FT,87,,EVERGREEN PARK,87th Street & Hamlin,
2793.0,79TH STREET,ANTHONY,EB,NS,79,N79,CHICAGO,79th Street & Anthony,17031450200
