census_tract,Tree_Canopy
17031280500,18.842665934242483
17031231000,17.180634021559914
17031090100,20.433391352966346
17031730100,22.651010362582685
17031730700,24.784391105941612
17031700500,22.596908714726425
17031690300,18.77743655173141
17031691000,27.661346155718892
17031680100,21.565802298708025
17031681000,25.75709016201053
17031670300,33.65825452252617
17031670900,25.619294981204106
17031671600,27.364517961978983
17031660500,23.690912269473188
17031640200,2.6808977348583922
17031650100,19.83756368348057
17031630100,18.47379666295654
17031630600,19.849692623324383
17031610800,20.240620350501157
17031611200,27.603353737252824
17031601400,15.811126928235998
17031580600,18.4464896935352
17031590100,20.51771709670912
17031600200,19.79580086588564
17031570400,15.582862215653318
17031560200,24.082963315101793
17031561000,17.190405417207657
17031520100,17.474151835363536
17031530200,33.71428469298989
17031510200,27.65466174918483
17031490500,19.238058891638378
17031460300,28.937566467135014
17031480400,22.199152517580043
17031450200,26.623868412895746
17031431300,26.85731734959201
17031440200,25.426577405001726
17031430100,25.814361323086995
17031430700,20.298494594370265
17031411200,34.703274419535624
17031420400,17.92464725405551
17031400200,23.119007052316928
17031380200,22.127424970451557
17031381600,11.880620453130895
17031340500,16.306615639834405
17031350600,27.44213842640225
17031351400,22.13990722234724
17031370100,16.584059054922022
17031340100,17.068165034361332
17031311500,14.833011282267712
17031301600,24.30945764591583
17031310400,17.05366931342291
17031311100,19.101235283034057
17031300100,22.30945569986496
17031300800,20.67893245035841
17031290500,15.049491646039193
17031291100,22.497981942519235
17031291700,28.896701461009965
17031282700,16.678060891864444
17031080900,18.236501324731687
17031283300,26.900135811770284
17031284000,19.07996870566331
17031280400,15.29911043370139
17031281400,18.8406192722586
17031260800,20.375909479247397
17031270400,27.035775775264046
17031271100,23.856121330972893
17031251800,21.682807870583805
17031250300,23.6009614439991
17031250500,24.461159751560018
17031251300,26.0036416321702
17031242300,32.30067603578326
17031242900,23.67412676518692
17031231700,18.60525687018486
17031240700,25.400930300086067
17031241300,40.83578100633013
17031222400,23.3145422502422
17031230100,26.29801198705971
17031231100,20.10233195893292
17031220600,26.351358473995738
17031221900,15.840848877096441
17031210200,19.484541604683304
17031210800,18.787501694969894
17031190400,17.42602980835809
17031191300,18.219139894633873
17031170600,24.333464981128785
17031180200,21.19105227493302
17031160900,32.29110250054308
17031150400,20.97064704740247
17031151100,19.548380674042672
17031130400,27.988625120701105
17031120100,56.19921583621668
17031090300,26.153496249480177
17031081000,29.750576430370007
17031081800,15.656776233608946
17031071900,26.201204075544815
17031080300,30.018558631452915
17031063400,21.558725650156614
17031070700,19.364659850487822
17031061100,19.99668260723332
17031061800,24.430955094037667
17031062500,26.16664313933497
17031730400,25.123250635107556
17031691200,19.440970599672994
17031680900,21.606208531996916
17031671000,31.8821760035157
17031660600,20.1224894817764
17031640800,11.930532040999434
17031630400,18.346873995399324
17031611600,27.283147922737072
17031601000,20.80950671804246
17031581000,14.497958033015989
17031570300,15.118027310528124
17031560900,19.46958400278421
17031490400,22.068264629079497
17031460500,27.522758157962766
17031450100,26.83980660632791
17031440100,26.62618799580565
17031430300,25.782612343687685
17031420200,18.66556116329289
17031400400,19.583529519028758
17031680600,28.502623012163724
17031490200,25.693645940288558
17031351100,15.269621249208152
17031252000,27.317935962574733
17031231500,29.169838747993765
17031070300,30.260728342339515
17031020900,25.215557115132146
17031252400,13.879577093231678
17031530100,22.64737096265615
17031222700,26.50720126825436
17031500200,23.92575642074415
17031390600,41.664471342114815
17031010400,25.423661069006325
17031242200,32.14561134120566
17031680300,30.85019640690187
17031612000,35.875555008310585
17031400800,16.88919968616311
17031710300,19.66982382739162
