GEO_ID,Census Tract Name,% population (25+) with <9 years of education,% population (25+) with at least a high school diploma,Unemployment rate (civilian labor force 16+),% families below the poverty level,median home value,median gross rent,Median Family Income,% population below 150% of the poverty threshold,median monthly mortgage,% single-parent households with children < 18,% owner-occupied housing units,% occupied housing units without complete plumbing,% households without a motor vehicle,% households without a telephone,% households with >1 person per room,% employed persons (16+) in white-collar occupations,log ratio low-to-high income
1400000US17031080202,Census Tract 802.02; Cook County; Illinois,0,3601,0.5,0.0,360800,1930,106071,0.0,2859,,39.8,0.0,59.1,0.0,0.0,82.2,-0.069
1400000US17031080300,Census Tract 803; Cook County; Illinois,22,4483,3.2,5.6,557200,2588,151830,5.6,3398,,39.1,0.5,37.8,0.0,2.7,76.8,-0.111
1400000US17031080400,Census Tract 804; Cook County; Illinois,39,2912,9.1,21.0,700400,673,68270,21.0,"4,000+",,40.9,0.0,37.5,4.6,0.0,70.2,0.121
1400000US17031081000,Census Tract 810; Cook County; Illinois,213,6073,4.1,0.0,741300,1791,79465,7.6,"4,000+",,12.6,0.7,65.8,0.0,1.8,73.1,-0.116
1400000US17031081100,Census Tract 811; Cook County; Illinois,33,2997,0.5,13.3,398000,1933,79561,15.9,2637,,17.6,0.0,55.8,3.5,1.0,73.4,-0.007
1400000US17031081201,Census Tract 812.01; Cook County; Illinois,0,3787,3.3,0.4,697600,2448,122659,5.1,3461,,45.6,0.0,56.1,0.0,3.1,68.5,0.006
1400000US17031081202,Census Tract 812.02; Cook County; Illinois,0,3073,9.3,0.0,801100,2726,154569,0.0,"4,000+",,67.7,0.0,25.5,0.0,0.0,82.4,-0.349
1400000US17031081300,Census Tract 813; Cook County; Illinois,0,4692,0.6,1.5,481800,1858,108625,1.5,3071,,51.5,0.5,48.2,0.0,0.7,75.8,-0.052
1400000US17031081401,Census Tract 814.01; Cook County; Illinois,0,1996,1.9,0.0,456100,2054,83292,2.5,3558,,38.5,0.0,52.7,1.3,1.4,71.7,-0.082
1400000US17031081402,Census Tract 814.02; Cook County; Illinois,14,5286,2.4,0.0,636300,2966,170333,3.0,"4,000+",,30.3,0.0,37.4,0.0,3.1,79.2,-0.1
1400000US17031081403,Census Tract 814.03; Cook County; Illinois,158,8702,3.1,5.6,854700,2472,110327,18.4,"4,000+",,20.4,0.0,57.1,0.0,7.8,83.9,-0.008
1400000US17031081500,Census Tract 815; Cook County; Illinois,0,4296,3.3,11.6,674300,2495,134320,11.6,3950,,52.2,0.0,38.3,0.0,3.1,70.1,-0.204
1400000US17031081600,Census Tract 816; Cook County; Illinois,19,3759,3.9,0.0,416700,2742,145500,0.0,3479,,26.4,0.0,61.5,1.2,0.0,78.4,-0.059
1400000US17031081700,Census Tract 817; Cook County; Illinois,0,4412,2.7,8.1,477600,2497,142821,8.1,3446,,23.3,0.0,64.3,0.0,4.1,80.1,-0.068
1400000US17031081800,Census Tract 818; Cook County; Illinois,0,11788,2.3,6.0,539800,2736,147354,14.6,3450,,45.7,0.0,34.1,0.0,2.9,73.9,-0.166
1400000US17031081900,Census Tract 819; Cook County; Illinois,5,991,1.9,8.8,486900,3355,225694,15.7,3439,,41.6,0.0,21.7,0.0,3.1,81.9,-0.154
1400000US17031090100,Census Tract 901; Cook County; Illinois,0,2624,4.9,8.2,445600,1382,140194,9.3,2799,,88.5,0.0,2.2,0.0,0.0,67.4,0.099
1400000US17031090200,Census Tract 902; Cook County; Illinois,94,4459,2.3,4.7,461100,1543,127384,5.7,2956,,77.4,0.0,7.5,0.0,2.5,66.6,0.058
1400000US17031090300,Census Tract 903; Cook County; Illinois,2,1031,4.6,2.7,502400,1313,116438,9.6,3012,,80.7,0.0,5.2,0.0,0.5,56.9,-0.114
1400000US17031100100,Census Tract 1001; Cook County; Illinois,87,3963,3.0,9.6,464000,1486,114536,13.7,2669,,86.5,0.0,1.4,1.3,0.0,45.7,-0.157
1400000US17031100200,Census Tract 1002; Cook County; Illinois,122,4895,5.1,1.1,413900,1662,94167,5.1,2558,,68.7,2.6,4.9,0.8,3.1,48.0,-0.187
1400000US17031100300,Census Tract 1003; Cook County; Illinois,149,4374,0.5,5.4,436000,2115,95441,8.5,3093,,67.1,0.5,20.1,0.6,1.7,59.3,0.098
1400000US17031100400,Census Tract 1004; Cook County; Illinois,35,2247,4.3,0.0,426700,-,142123,4.5,2548,,93.0,0.0,7.2,0.0,1.1,55.9,-0.1
1400000US17031100500,Census Tract 1005; Cook County; Illinois,64,4258,4.1,0.8,360400,1577,128688,3.2,2529,,93.1,0.0,2.3,0.1,0.1,58.6,-0.137
1400000US17031100600,Census Tract 1006; Cook County; Illinois,284,2883,4.8,7.8,360800,1225,78689,12.8,2326,,77.2,0.9,7.5,0.3,1.1,58.0,-0.057
1400000US17031100700,Census Tract 1007; Cook County; Illinois,237,3412,8.5,5.7,405600,-,134767,13.5,2195,,93.1,0.0,3.8,0.4,2.0,59.8,0.017
1400000US17031110100,Census Tract 1101; Cook County; Illinois,230,3876,3.2,4.9,428200,1457,97743,4.9,3099,,67.2,1.1,10.5,1.9,4.3,72.8,-0.182
1400000US17031110200,Census Tract 1102; Cook County; Illinois,172,2091,14.3,5.3,415600,1187,76563,13.6,2465,,48.6,0.0,20.4,2.0,1.8,47.2,0.038
1400000US17031110300,Census Tract 1103; Cook County; Illinois,69,3488,5.3,0.9,398200,1642,119750,4.5,2459,,89.6,0.0,4.7,0.0,3.5,52.9,-0.003
1400000US17031110400,Census Tract 1104; Cook County; Illinois,100,3340,2.0,1.3,377400,1357,92315,3.8,2571,,64.0,0.0,9.1,0.0,2.5,56.0,-0.094
1400000US17031110501,Census Tract 1105.01; Cook County; Illinois,83,3665,2.6,2.0,408900,1555,105568,8.6,2632,,62.1,0.4,5.3,0.4,0.6,54.9,-0.029
1400000US17031110502,Census Tract 1105.02; Cook County; Illinois,60,2350,8.6,6.6,345500,1353,71992,11.3,2754,,69.0,0.5,18.3,0.6,1.1,51.6,-0.126
1400000US17031120100,Census Tract 1201; Cook County; Illinois,21,3019,7.9,2.4,581300,2250,163007,6.2,3104,,97.5,0.0,0.8,0.0,0.0,67.9,0.054
1400000US17031120200,Census Tract 1202; Cook County; Illinois,56,3169,1.9,4.2,587100,1408,141458,6.2,3222,,84.9,0.0,4.2,0.0,3.1,68.0,-0.087
1400000US17031120300,Census Tract 1203; Cook County; Illinois,132,4548,1.7,4.3,520100,1402,139338,8.8,2936,,90.1,0.0,6.5,4.4,1.8,62.6,0.004
1400000US17031120400,Census Tract 1204; Cook County; Illinois,152,2523,6.8,5.0,415700,1586,108145,9.9,2866,,79.2,0.0,7.4,0.6,0.5,45.8,-0.233
1400000US17031130100,Census Tract 1301; Cook County; Illinois,177,3308,4.6,17.8,475000,431,34565,21.3,2515,,49.9,0.0,24.8,1.3,1.5,74.6,-0.088
1400000US17031130200,Census Tract 1302; Cook County; Illinois,20,1018,0.0,9.0,352500,1245,120625,12.1,2365,,87.0,0.0,4.4,0.0,5.0,55.8,-0.053
1400000US17031130300,Census Tract 1303; Cook County; Illinois,355,3255,4.8,9.1,431200,1367,67833,20.0,2623,,42.4,0.0,9.7,1.9,6.6,49.5,0.011
1400000US17031140100,Census Tract 1401; Cook County; Illinois,277,1845,2.1,5.0,331900,1543,78686,25.3,2108,,26.8,2.2,14.8,3.5,4.8,42.4,-0.019
1400000US17031140200,Census Tract 1402; Cook County; Illinois,555,2980,8.4,9.3,291200,1356,75067,22.7,2568,,40.8,0.0,19.7,0.0,6.6,67.6,-0.072
1400000US17031140301,Census Tract 1403.01; Cook County; Illinois,689,1166,7.7,23.7,407600,1362,75616,37.0,2529,,31.1,0.8,21.6,5.9,5.1,35.4,0.102
1400000US17031140302,Census Tract 1403.02; Cook County; Illinois,331,2209,7.5,5.0,413100,1264,97574,10.1,2307,,50.9,0.0,15.9,3.3,3.4,61.3,-0.068
1400000US17031140400,Census Tract 1404; Cook County; Illinois,300,3902,5.5,9.8,430900,1185,110306,14.6,2439,,77.4,0.0,12.8,0.6,1.5,53.5,0.024
1400000US17031140500,Census Tract 1405; Cook County; Illinois,171,2150,3.0,0.6,403400,1196,73889,17.2,2571,,45.0,0.0,8.8,0.0,5.0,30.4,-0.055
1400000US17031140601,Census Tract 1406.01; Cook County; Illinois,377,1204,6.6,7.7,415600,1326,85375,18.4,2897,,43.5,2.8,13.1,1.0,6.7,39.3,0.102
1400000US17031140602,Census Tract 1406.02; Cook County; Illinois,257,2491,12.8,21.5,401200,1614,62033,35.8,2383,,23.2,1.5,17.2,0.8,1.5,38.6,-0.039
1400000US17031140701,Census Tract 1407.01; Cook County; Illinois,379,1421,2.3,16.2,352400,1451,97500,21.6,2416,,44.2,0.0,23.0,4.8,8.0,49.5,0.002
1400000US17031140702,Census Tract 1407.02; Cook County; Illinois,826,2721,3.9,0.5,411000,1434,76392,13.2,2567,,36.8,0.0,30.4,3.5,4.7,36.2,-0.168
1400000US17031140800,Census Tract 1408; Cook County; Illinois,140,4127,11.4,6.0,504400,1601,108958,6.0,2681,,46.3,0.0,16.2,0.0,2.0,52.9,-0.062
1400000US17031150200,Census Tract 1502; Cook County; Illinois,340,4866,4.3,3.5,417900,1337,105145,11.4,2498,,56.8,0.0,17.8,2.1,0.9,55.2,0.034
1400000US17031150300,Census Tract 1503; Cook County; Illinois,371,4727,4.8,2.7,338200,1351,89097,6.2,2292,,57.3,0.3,4.8,0.0,1.3,58.4,-0.157
1400000US17031150401,Census Tract 1504.01; Cook County; Illinois,230,3002,7.0,17.3,374600,1415,86563,23.6,2578,,60.3,0.0,9.2,0.0,4.2,52.6,0.011
1400000US17031150402,Census Tract 1504.02; Cook County; Illinois,145,2476,2.1,6.7,400900,1375,103939,18.2,2531,,62.7,0.4,8.0,2.2,2.4,44.7,-0.041
1400000US17031150501,Census Tract 1505.01; Cook County; Illinois,68,2769,5.2,1.8,379300,1475,126471,8.6,2388,,74.6,0.0,6.3,1.0,9.2,63.4,0.054
1400000US17031150502,Census Tract 1505.02; Cook County; Illinois,280,2614,2.7,5.5,388600,1385,79659,14.7,2073,,63.7,0.0,11.2,0.0,3.6,46.0,0.0
1400000US17031150600,Census Tract 1506; Cook County; Illinois,59,2674,4.4,8.6,442300,1486,102399,11.3,2431,,71.3,0.0,9.6,0.0,0.6,50.6,-0.173
1400000US17031150700,Census Tract 1507; Cook County; Illinois,114,2366,3.7,4.3,394400,1243,132361,8.3,2593,,67.8,0.7,13.3,0.0,3.4,62.7,0.218
1400000US17031150800,Census Tract 1508; Cook County; Illinois,371,2620,9.3,7.2,352700,1377,92443,10.5,1975,,72.2,0.0,7.8,1.4,1.8,46.5,-0.078
1400000US17031151001,Census Tract 1510.01; Cook County; Illinois,167,1473,5.9,10.2,377700,1459,94435,13.7,2285,,61.0,0.0,2.3,0.0,3.8,39.9,0.015
1400000US17031151002,Census Tract 1510.02; Cook County; Illinois,115,2875,6.6,14.0,364700,1246,75875,17.4,2500,,42.6,1.5,19.0,0.5,6.1,45.1,0.136
1400000US17031151100,Census Tract 1511; Cook County; Illinois,370,3050,6.8,14.0,408700,1268,62717,21.3,2414,,46.3,0.9,16.6,0.6,9.7,48.2,-0.071
1400000US17031151200,Census Tract 1512; Cook County; Illinois,152,2434,1.6,7.7,369000,1363,69776,8.6,2267,,80.4,0.0,8.8,1.5,0.8,44.6,-0.084
1400000US17031160100,Census Tract 1601; Cook County; Illinois,46,1684,1.1,5.6,380700,1579,111250,25.2,2823,,64.9,0.0,6.2,4.7,2.2,50.5,0.063
1400000US17031160200,Census Tract 1602; Cook County; Illinois,0,2362,1.4,5.3,577900,1582,132599,7.2,2951,,67.6,0.0,13.7,0.0,0.0,60.8,-0.195
1400000US17031160300,Census Tract 1603; Cook County; Illinois,166,2605,10.1,10.8,256800,1209,68887,14.2,1917,,48.3,0.0,19.8,0.0,1.0,62.2,-0.1
1400000US17031160400,Census Tract 1604; Cook County; Illinois,245,3456,6.4,12.0,622000,1256,81375,21.9,3388,,49.1,1.1,21.4,4.8,0.9,50.0,-0.067
1400000US17031160501,Census Tract 1605.01; Cook County; Illinois,437,2100,7.8,9.3,400000,1387,80179,26.3,2675,,37.6,0.0,11.1,0.0,10.4,43.0,-0.115
