census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Grocery_Store,Tract_Area_SqMi,Population
17031071200,34.334349501260824,22.8725,124.8416,43.727,6.4515,7.9681,23.545,3.364,106.9627,36.3269,0.1255,2973
17031071300,39.969128307808646,17.4672,630.2606,17.981,7.9453,0.0,15.412,5.137,56.7686,7.4493,0.1191,3893
17031071400,28.13694723711309,13.7042,957.7843,32.245,13.3816,0.0,12.092,4.031,83.031,11.0842,0.2834,4962
17031071500,24.622611546512392,62.8781,590.2389,39.796,11.4112,2.6219,11.143,3.184,137.0583,8.596,0.3814,6282
17031071600,45.183207022641234,90.3514,490.1178,22.309,14.8201,0.0,33.463,11.154,23.4244,0.5577,0.0625,1793
17031071700,41.25755073497741,275.3012,90.0634,12.048,10.9841,0.0,48.193,6.024,76.506,0.0,0.0619,1660
17031071800,39.524897821888274,162.5189,158.2518,26.395,8.1813,8.0064,30.166,7.541,80.6938,17.7225,0.1249,2652
17031080100,31.59171681674709,76.2367,847.1814,20.351,25.8084,19.861,9.393,3.131,31.7783,0.7827,0.1007,6388
17031080201,32.69615953268686,234.3704,1087.3374,20.741,48.6431,19.1571,17.778,5.926,42.963,7.1111,0.0522,3375
17031080202,30.2635523186822,212.7811,148.5801,21.302,34.7872,16.6389,14.201,4.734,48.0473,4.2604,0.0601,4225
17031080300,30.00350473624397,230.9511,227.3629,23.641,19.5581,7.1633,18.185,3.637,144.9354,23.0951,0.1396,5499
17031080400,27.8275464116664,284.0884,152.0922,15.321,15.1798,7.9177,19.698,4.377,55.592,8.3169,0.1263,4569
17031081000,29.78040225063464,131.603,94.7238,27.441,24.9185,17.3461,5.717,2.287,66.316,7.432,0.1153,8746
17031081100,21.07959759234274,124.9104,165.9645,14.33,63.2468,50.2513,9.553,4.777,91.7124,13.1359,0.0398,4187
17031081201,21.358454122045543,83.6614,326.557,15.748,25.1752,28.0899,5.906,3.937,286.4173,25.5906,0.0712,5080
17031081202,29.56435598273028,150.4319,434.3077,23.831,24.6947,27.4725,11.915,5.958,75.6628,7.1492,0.0728,3357
17031081300,21.74346877302802,27.2563,327.1878,19.856,13.3484,13.2979,3.61,3.61,165.704,14.4404,0.0752,5540
17031081401,23.22917740786152,6.7783,203.9297,51.834,10.8689,18.8501,3.987,7.974,292.6635,54.2265,0.1061,2508
17031081402,27.364118834472084,2.4107,146.9537,11.344,7.9316,15.873,0.0,1.418,90.0454,11.9115,0.189,7052
17031081403,16.627734145904117,1.7271,285.4347,16.255,12.8155,42.8266,2.032,3.048,136.9501,13.1058,0.1401,9843
17031081500,17.596537869101695,22.4776,80.3793,32.111,19.2126,52.4476,6.76,5.07,303.7012,37.181,0.1144,5917
17031081600,15.58322847471679,51.3436,62.0933,33.589,62.8852,117.4168,11.996,7.198,157.8695,25.9117,0.0511,4168
17031081700,16.62830395342888,69.171,24.6359,36.121,27.4725,41.7827,9.03,5.418,356.872,33.4116,0.1436,5537
17031081800,15.674087888855984,93.7308,50.8588,18.465,17.6356,13.8074,4.396,3.517,364.3718,20.3113,0.2897,11373
17031081900,25.4144211427625,941.8868,286.3063,22.642,6.0401,19.084,37.736,15.094,67.1698,7.5472,0.0524,1325
17031090200,28.11978464787597,0.1509,37.7147,24.147,0.0,0.0,6.037,1.509,83.9119,9.2062,0.5887,6626
17031090300,26.140599579843965,0.761,75.4118,7.61,0.0,0.0,15.221,7.61,120.2435,3.8052,0.1844,1314
17031100100,24.19349042442355,13.1817,25.1438,19.863,6.9302,2.1959,5.417,3.611,78.1871,8.3062,0.4554,5538
17031100200,28.369124107437592,0.1424,31.8482,41.287,2.9581,2.5381,9.966,2.847,59.795,4.9829,0.788,7024
17031100300,28.66868336533102,13.5956,42.2782,22.393,0.3424,4.4366,11.196,3.199,23.3525,1.2796,0.9016,6252
17031100400,23.15861469699028,26.5045,55.5298,18.709,0.0,5.3677,9.355,6.236,15.9027,2.1827,0.3726,3207
17031100500,20.09781014341328,13.7345,27.845,19.621,0.0,2.5897,4.905,3.27,30.739,4.4147,0.7723,6116
17031100600,22.06909006690092,17.1534,12.8835,51.052,0.6195,6.0667,12.252,4.084,59.8326,8.1683,0.4945,4897
17031100700,22.475031011054107,0.0,8.1503,16.106,0.0,4.2589,6.04,2.013,16.1063,0.604,0.4696,4967
17031110100,31.628561558958307,13.1106,7.249,17.96,9.2511,1.3772,7.184,5.388,66.2716,10.0575,0.7261,5568
17031110200,18.021480672699767,26.3348,27.9713,57.72,12.8307,0.0,14.43,7.215,113.6364,15.1515,0.2302,2772
17031110300,19.93931363122433,13.65,41.9367,41.137,1.9829,2.1432,9.349,3.74,23.9342,1.1219,0.4666,5348
17031110400,22.337558089507528,17.0279,44.7165,28.748,5.7153,2.7755,11.057,2.211,36.2671,3.7594,0.3603,4522
17031110501,25.50218444536021,16.0886,21.5468,27.163,8.5153,3.2373,6.268,4.179,39.0723,1.8805,0.3089,4786
17031110502,22.230691596161307,1.2422,83.3552,90.062,8.2061,3.9761,12.422,6.211,172.9814,16.1491,0.2515,3220
17031120100,56.83895285579123,0.0,14.7557,99.955,4.174,0.9397,6.815,4.543,32.0309,2.2717,1.0642,4402
17031120200,43.1284207541261,0.0,9.6614,37.911,2.7289,1.0756,6.318,2.106,84.6672,11.3732,0.9297,4748
17031120300,33.46747993840032,54.9133,29.7604,28.902,4.7061,0.0,4.335,2.89,60.1156,5.4913,0.7799,6920
17031120400,36.16903929218312,29.2116,13.7231,39.705,11.7295,4.9249,8.508,8.508,74.8724,5.9558,0.4061,3526
17031130100,36.2210673321584,92.0269,171.8676,53.794,2.862,2.8035,11.527,3.842,87.2238,17.8674,0.7134,5205
17031130200,38.843891631598574,339.9857,120.3117,142.552,6.9185,1.2267,42.766,21.383,142.5517,24.9465,0.8152,1403
